symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
BTC-PERP,2026-01-14T20:01:00+00:00,2026-01-14T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.433194574997835, ""funding_pressure_bps"": 1.9985000000000002, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-15T08:01:00+00:00,2026-01-15T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 47.22843649018094, ""funding_pressure_bps"": 5.0, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-15T08:01:00+00:00,2026-01-15T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.55319148936066, ""funding_pressure_bps"": 5.0, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-15T08:01:00+00:00,2026-01-15T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 38.316845478612024, ""funding_pressure_bps"": 4.6611, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-15T08:01:00+00:00,2026-01-15T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 55.03849976286945, ""funding_pressure_bps"": 3.6361, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-16T20:01:00+00:00,2026-01-16T20:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -5.170630816958566, ""funding_pressure_bps"": -1.4805, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-17T08:01:00+00:00,2026-01-17T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 1.1247157812843689, ""funding_pressure_bps"": 2.6059, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-17T12:01:00+00:00,2026-01-17T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 6.763320538334394, ""funding_pressure_bps"": 2.0000999999999998, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-17T16:01:00+00:00,2026-01-17T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 76.95658487004708, ""funding_pressure_bps"": 1.4413000000000002, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-17T16:01:00+00:00,2026-01-17T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 128.3987915407847, ""funding_pressure_bps"": 1.0474999999999999, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-17T20:01:00+00:00,2026-01-17T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 7.503751875939102, ""funding_pressure_bps"": 1.2302, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-18T04:01:00+00:00,2026-01-18T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 22.68237360064429, ""funding_pressure_bps"": 3.8289, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-18T04:01:00+00:00,2026-01-18T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.78269300690862, ""funding_pressure_bps"": 2.8995, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-18T04:01:00+00:00,2026-01-18T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 21.600865298436744, ""funding_pressure_bps"": 1.1803000000000001, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-18T16:01:00+00:00,2026-01-18T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 28.01685224194994, ""funding_pressure_bps"": 2.1685000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-18T16:01:00+00:00,2026-01-18T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 21.834061135370675, ""funding_pressure_bps"": 1.9001000000000001, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-18T20:01:00+00:00,2026-01-18T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 15.411460790071274, ""funding_pressure_bps"": 2.5673, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-19T04:01:00+00:00,2026-01-19T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 19.318575481326317, ""funding_pressure_bps"": 1.8827, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-19T08:01:00+00:00,2026-01-19T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 31.94857090961012, ""funding_pressure_bps"": 2.6139, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-20T12:01:00+00:00,2026-01-20T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 22.058556840625076, ""funding_pressure_bps"": 2.4354999999999998, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-20T12:01:00+00:00,2026-01-20T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 54.05265524369041, ""funding_pressure_bps"": 2.0221, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-20T16:01:00+00:00,2026-01-20T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 55.991041433369745, ""funding_pressure_bps"": 1.4092, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-20T16:01:00+00:00,2026-01-20T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 23.229734059595497, ""funding_pressure_bps"": 1.0437999999999998, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-20T20:01:00+00:00,2026-01-20T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 0.8149959250203231, ""funding_pressure_bps"": 1.3101, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-21T04:01:00+00:00,2026-01-21T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 45.5215083789473, ""funding_pressure_bps"": 3.4591, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-21T04:01:00+00:00,2026-01-21T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 50.28057301643018, ""funding_pressure_bps"": 1.7924, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-21T16:01:00+00:00,2026-01-21T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 177.77847957780813, ""funding_pressure_bps"": 3.8152, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-21T16:01:00+00:00,2026-01-21T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 269.3507229940462, ""funding_pressure_bps"": 3.1629, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-21T16:01:00+00:00,2026-01-21T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 247.6533876921061, ""funding_pressure_bps"": 1.7026000000000001, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-21T16:01:00+00:00,2026-01-21T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 237.9776021080371, ""funding_pressure_bps"": 1.0116, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-22T20:01:00+00:00,2026-01-22T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 25.68628984503274, ""funding_pressure_bps"": 2.9349, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-23T04:01:00+00:00,2026-01-23T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 0.0, ""funding_pressure_bps"": 1.9505000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-23T12:01:00+00:00,2026-01-23T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 23.966366150318663, ""funding_pressure_bps"": 2.9364000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
