symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
ADA-PERP,2025-11-08T08:01:00+00:00,2025-11-08T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 63.96957123098179, ""funding_pressure_bps"": 3.8007999999999997, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-11-08T08:01:00+00:00,2025-11-08T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 79.46723375678476, ""funding_pressure_bps"": 3.0021000000000004, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-08T12:01:00+00:00,2025-11-08T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 32.63999999999933, ""funding_pressure_bps"": 5.0, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-11-09T08:01:00+00:00,2025-11-09T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 71.89692856321095, ""funding_pressure_bps"": 3.4584, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-09T08:01:00+00:00,2025-11-09T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 72.13587776247587, ""funding_pressure_bps"": 3.4104, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-09T08:01:00+00:00,2025-11-09T08:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 126.03528988116786, ""funding_pressure_bps"": 1.9904, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-09T12:01:00+00:00,2025-11-09T12:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 175.56561085972922, ""funding_pressure_bps"": 1.9904, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-11-09T16:01:00+00:00,2025-11-09T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 171.1410755950271, ""funding_pressure_bps"": 3.0403000000000002, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-09T16:01:00+00:00,2025-11-09T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 216.77327647476875, ""funding_pressure_bps"": 1.9904, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-10T04:01:00+00:00,2025-11-10T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 79.5031055900619, ""funding_pressure_bps"": 2.2112, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-11-10T04:01:00+00:00,2025-11-10T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 55.9370846256102, ""funding_pressure_bps"": 2.1928, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-10T04:01:00+00:00,2025-11-10T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 84.03361344537785, ""funding_pressure_bps"": 1.0966, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-11-10T08:01:00+00:00,2025-11-10T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 34.99404978565934, ""funding_pressure_bps"": 2.7720000000000002, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-11T04:01:00+00:00,2025-11-11T04:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 150.18315018315187, ""funding_pressure_bps"": 2.7340000000000004, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-11-11T04:01:00+00:00,2025-11-11T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 101.16645475150676, ""funding_pressure_bps"": 1.3097, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-11T12:01:00+00:00,2025-11-11T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 105.49313358302115, ""funding_pressure_bps"": 2.6265, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
